Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599232775,Device: id=0,RX,0,0,0,0,0
1599232776,Device: id=0,RX,0,0,0,0,0
1599232777,Device: id=0,RX,0,0,0,0,0
1599232778,Device: id=0,RX,0,0,0,0,0
1599232779,Device: id=0,RX,0,0,0,0,0
1599232780,Device: id=0,RX,0,0,0,0,0
1599232781,Device: id=0,RX,0,0,0,0,0
1599232782,Device: id=0,RX,0,0,0,0,0
1599232783,Device: id=0,RX,0,0,0,0,0
1599232784,Device: id=0,RX,0,0,0,0,0
1599232785,Device: id=0,RX,0,0,0,0,0
1599232786,Device: id=0,RX,0,0,0,0,0
1599232787,Device: id=0,RX,0,0,0,0,0
1599232788,Device: id=0,RX,0,0,0,0,0
1599232789,Device: id=0,RX,0,0,0,0,0
1599232790,Device: id=0,RX,0,0,0,0,0
1599232791,Device: id=0,RX,0,0,0,0,0
1599232792,Device: id=0,RX,0,0,0,0,0
1599232793,Device: id=0,RX,0,0,0,0,0
1599232794,Device: id=0,RX,0,0,0,0,0
1599232795,Device: id=0,RX,0,0,0,0,0
1599232796,Device: id=0,RX,0,0,0,0,0
1599232797,Device: id=0,RX,0,0,0,0,0
1599232798,Device: id=0,RX,0,0,0,0,0
1599232799,Device: id=0,RX,0,0,0,0,0
1599232800,Device: id=0,RX,0,0,0,0,0
1599232801,Device: id=0,RX,0,0,0,0,0
