Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599233092,Device: id=1,TX,4.5292002268693,9275.6115194614,10000.283555761,7910406,2025051904
1599233093,Device: id=1,TX,4.5292489069043,9275.8074939426,10000.487319047,12486001,3196392320
1599233094,Device: id=1,TX,4.5292490738281,9275.8053998702,10000.485251683,17018279,4356643392
1599233095,Device: id=1,TX,4.529249429288,9275.8082993287,10000.488208015,21556543,5518427136
1599233096,Device: id=1,TX,4.52925123782,9275.8098176804,10000.490015732,26088165,6678510272
1599233097,Device: id=1,TX,4.5292463130334,9275.7998565593,10000.479266645,30625639,7840091520
1599233098,Device: id=1,TX,4.5292504206085,9275.8061992744,10000.486266572,35161953,9001375552
1599233099,Device: id=1,TX,4.5292465539458,9275.8023576669,10000.481806298,39697673,10162508032
1599233100,Device: id=1,TX,4.5292485500053,9275.8023471966,10000.482115197,44233016,11323543488
1599233101,Device: id=1,TX,4.5292483743893,9275.8040453141,10000.483785216,48768947,12484729728
1599233102,Device: id=1,TX,4.5292483600638,9275.8059740327,10000.485711643,53300713,13644849984
1599233103,Device: id=1,TX,4.5292499676937,9275.8053228647,10000.485317696,57839380,14806736384
1599233104,Device: id=1,TX,4.5293403638591,9276.0783320856,10000.772790303,62376697,15968288192
1599233105,Device: id=1,TX,4.5291508786518,9275.5184122957,10000.18255288,66910730,17128977792
1599233106,Device: id=1,TX,4.5292491037178,9275.8055191695,10000.485375764,71445732,18289926208
1599233107,Device: id=1,TX,4.5292487235162,9275.8046301573,10000.48442592,75975561,19449550336
1599233108,Device: id=1,TX,4.529247865791,9275.8030138544,10000.482672381,80511968,20610858432
1599233109,Device: id=1,TX,4.5292477570343,9275.804826926,10000.484468051,85047945,21772056704
1599233110,Device: id=1,TX,4.5292488377669,9275.8049022948,10000.484716338,89579561,22932138304
1599233111,Device: id=1,TX,4.5292483780149,9275.8040548268,10000.483795309,94115590,24093349632
1599233112,Device: id=1,TX,4.5292489483335,9275.8052489568,10000.48508069,98652846,25254875072
1599233113,Device: id=1,TX,4.529248919451,9275.8030181184,10000.482845231,103184254,26414903168
1599233114,Device: id=1,TX,4.5292486005214,9275.8066206504,10000.486396734,107723412,27576915776
1599233115,Device: id=1,TX,4.529248617917,9275.8025462959,10000.482325163,112261515,28738657792
1599233116,Device: id=1,TX,4.5292483861132,9275.8060540083,10000.485795786,116794556,29899104448
1599233117,Device: id=1,TX,4.5292500026143,9275.8072814955,10000.487281914,121325873,31059109504
1599233118,Device: id=1,TX,4.5292485028353,9275.8044629946,10000.484223448,122762070,31426771584
